generation_id,year,month,units_sold
BMW_3_E36,1990,,18200
BMW_3_E36,1991,,184500
BMW_3_E36,1992,,286400
BMW_3_E36,1993,,321800
BMW_3_E36,1994,,349600
BMW_3_E36,1995,,368100
BMW_3_E36,1996,,381200
BMW_3_E36,1997,,372400
BMW_3_E36,1998,,341500
BMW_3_E36,1999,,254100
BMW_3_E36,2000,,164596
BMW_3_E46,1997,,14200
BMW_3_E46,1998,,198400
BMW_3_E46,1999,,354600
BMW_3_E46,2000,,412800
BMW_3_E46,2001,,472100
BMW_3_E46,2002,,498300
BMW_3_E46,2003,,462100
BMW_3_E46,2004,,418200
BMW_3_E46,2005,,312500
BMW_3_E46,2006,,123585
BMW_3_E90,2005,,148500
BMW_3_E90,2006,,445200
BMW_3_E90,2007,,555219
BMW_3_E90,2008,,474208
BMW_3_E90,2009,,397103
BMW_3_E90,2010,,399009
BMW_3_E90,2011,,384464
BMW_3_E90,2012,,218500
BMW_3_E90,2013,,80442
BMW_3_F30,2011,,18500
BMW_3_F30,2012,,386000
BMW_3_F30,2013,,412500
BMW_3_F30,2014,,401200
BMW_3_F30,2015,,382400
BMW_3_F30,2016,,358200
BMW_3_F30,2017,,328400
BMW_3_F30,2018,,254100
BMW_3_F30,2019,,108700
BMW_3_G20,2018,,22100
BMW_3_G20,2019,,312400
BMW_3_G20,2020,,336200
BMW_3_G20,2021,,361500
BMW_3_G20,2022,,345200
BMW_3_G20,2023,,368500
BMW_3_G20,2024,1,28400
BMW_3_G20,2024,2,27900
BMW_3_G20,2024,3,33100
BMW_3_G20,2024,4,29800
BMW_3_G20,2024,5,31200
BMW_3_G20,2024,6,32500
BMW_5_E12,1972,,18200
BMW_5_E12,1973,,68400
BMW_5_E12,1974,,74100
BMW_5_E12,1975,,81500
BMW_5_E12,1976,,89200
BMW_5_E12,1977,,97800
BMW_5_E12,1978,,94600
BMW_5_E12,1979,,91200
BMW_5_E12,1980,,68200
BMW_5_E12,1981,,15894
BMW_5_E28,1981,,32400
BMW_5_E28,1982,,98500
BMW_5_E28,1983,,118400
BMW_5_E28,1984,,124600
BMW_5_E28,1985,,128900
BMW_5_E28,1986,,114200
BMW_5_E28,1987,,89400
BMW_5_E28,1988,,15928
BMW_5_E34,1987,,11200
BMW_5_E34,1988,,124500
BMW_5_E34,1989,,164200
BMW_5_E34,1990,,182100
BMW_5_E34,1991,,189400
BMW_5_E34,1992,,178200
BMW_5_E34,1993,,162500
BMW_5_E34,1994,,149800
BMW_5_E34,1995,,132400
BMW_5_E34,1996,,39112
BMW_5_E39,1995,,16200
BMW_5_E39,1996,,154200
BMW_5_E39,1997,,198400
BMW_5_E39,1998,,221600
BMW_5_E39,1999,,218500
BMW_5_E39,2000,,204300
BMW_5_E39,2001,,193200
BMW_5_E39,2002,,172400
BMW_5_E39,2003,,118200
BMW_5_E39,2004,,36123
BMW_5_E60,2003,,68400
BMW_5_E60,2004,,229600
BMW_5_E60,2005,,228400
BMW_5_E60,2006,,232200
BMW_5_E60,2007,,230845
BMW_5_E60,2008,,202814
BMW_5_E60,2009,,175983
BMW_5_E60,2010,,70607
BMW_5_F10,2010,,194100
BMW_5_F10,2011,,332500
BMW_5_F10,2012,,359000
BMW_5_F10,2013,,366900
BMW_5_F10,2014,,373100
BMW_5_F10,2015,,347000
BMW_5_F10,2016,,312200
BMW_5_F10,2017,,100756
BMW_5_G30,2017,,246500
BMW_5_G30,2018,,328900
BMW_5_G30,2019,,302100
BMW_5_G30,2020,,268400
BMW_5_G30,2021,,284100
BMW_5_G30,2022,,261800
BMW_5_G30,2023,,189200
BMW_5_G60,2023,,42100
BMW_5_G60,2024,1,18200
BMW_5_G60,2024,2,17800
BMW_5_G60,2024,3,21500
BMW_5_G60,2024,4,19400
BMW_5_G60,2024,5,20100
BMW_5_G60,2024,6,21300
BMW_7_E23,1977,,18200
BMW_7_E23,1978,,35400
BMW_7_E23,1979,,36100
BMW_7_E23,1980,,34800
BMW_7_E23,1981,,32900
BMW_7_E23,1982,,33100
BMW_7_E23,1983,,34200
BMW_7_E23,1984,,30800
BMW_7_E23,1985,,22100
BMW_7_E23,1986,,7429
BMW_7_E32,1986,,15400
BMW_7_E32,1987,,48200
BMW_7_E32,1988,,52100
BMW_7_E32,1989,,49800
BMW_7_E32,1990,,45200
BMW_7_E32,1991,,38100
BMW_7_E32,1992,,31400
BMW_7_E32,1993,,22600
BMW_7_E32,1994,,8268
BMW_7_E38,1994,,21200
BMW_7_E38,1995,,51400
BMW_7_E38,1996,,53100
BMW_7_E38,1997,,49800
BMW_7_E38,1998,,47300
BMW_7_E38,1999,,43200
BMW_7_E38,2000,,38400
BMW_7_E38,2001,,23258
BMW_7_E65,2001,,18200
BMW_7_E65,2002,,53500
BMW_7_E65,2003,,57800
BMW_7_E65,2004,,53400
BMW_7_E65,2005,,48200
BMW_7_E65,2006,,47200
BMW_7_E65,2007,,44445
BMW_7_E65,2008,,20328
BMW_7_F01,2008,,16400
BMW_7_F01,2009,,52680
BMW_7_F01,2010,,65811
BMW_7_F01,2011,,68774
BMW_7_F01,2012,,59176
BMW_7_F01,2013,,56001
BMW_7_F01,2014,,38100
BMW_7_F01,2015,,17295
BMW_7_G11,2015,,19200
BMW_7_G11,2016,,61514
BMW_7_G11,2017,,64311
BMW_7_G11,2018,,56303
BMW_7_G11,2019,,50550
BMW_7_G11,2020,,46100
BMW_7_G11,2021,,46300
BMW_7_G11,2022,,28400
BMW_7_G70,2022,,9200
BMW_7_G70,2023,,37200
BMW_7_G70,2024,1,3100
BMW_7_G70,2024,2,3050
BMW_7_G70,2024,3,3400
BMW_7_G70,2024,4,3150
BMW_7_G70,2024,5,3280
BMW_7_G70,2024,6,3390
BMW_6_E24,1976,,4900
BMW_6_E24,1977,,8900
BMW_6_E24,1978,,9800
BMW_6_E24,1979,,9100
BMW_6_E24,1980,,7900
BMW_6_E24,1981,,6800
BMW_6_E24,1982,,6200
BMW_6_E24,1983,,6400
BMW_6_E24,1984,,6600
BMW_6_E24,1985,,7100
BMW_6_E24,1986,,6300
BMW_6_E24,1987,,4100
BMW_6_E24,1988,,1600
BMW_6_E24,1989,,516
BMW_6_E63,2003,,2800
BMW_6_E63,2004,,21100
BMW_6_E63,2005,,23300
BMW_6_E63,2006,,21900
BMW_6_E63,2007,,19626
BMW_6_E63,2008,,16299
BMW_6_E63,2009,,8648
BMW_6_E63,2010,,3075
BMW_6_F12,2011,,9320
BMW_6_F12,2012,,23150
BMW_6_F12,2013,,27600
BMW_6_F12,2014,,23900
BMW_6_F12,2015,,20900
BMW_6_F12,2016,,13400
BMW_6_F12,2017,,8200
BMW_6_F12,2018,,2600
BMW_6_G32,2017,,4100
BMW_6_G32,2018,,18200
BMW_6_G32,2019,,14100
BMW_6_G32,2020,,10800
BMW_6_G32,2021,,8900
BMW_6_G32,2022,,6400
BMW_6_G32,2023,,2800
BMW_8_E31,1989,,380
BMW_8_E31,1990,,4120
BMW_8_E31,1991,,7430
BMW_8_E31,1992,,6120
BMW_8_E31,1993,,4210
BMW_8_E31,1994,,3100
BMW_8_E31,1995,,2200
BMW_8_E31,1996,,1400
BMW_8_E31,1997,,850
BMW_8_E31,1998,,540
BMW_8_E31,1999,,271
BMW_8_G15,2018,,1800
BMW_8_G15,2019,,17200
BMW_8_G15,2020,,14500
BMW_8_G15,2021,,16400
BMW_8_G15,2022,,15100
BMW_8_G15,2023,,13900
BMW_8_G15,2024,1,1100
BMW_8_G15,2024,2,1050
BMW_8_G15,2024,3,1250
BMW_8_G15,2024,4,1120
BMW_8_G15,2024,5,1180
BMW_8_G15,2024,6,1220
BMW_1_E87,2004,,38200
BMW_1_E87,2005,,149500
BMW_1_E87,2006,,151900
BMW_1_E87,2007,,165803
BMW_1_E87,2008,,225095
BMW_1_E87,2009,,216944
BMW_1_E87,2010,,196004
BMW_1_E87,2011,,176418
BMW_1_E87,2012,,128500
BMW_1_E87,2013,,51636
BMW_1_F20,2011,,41200
BMW_1_F20,2012,,226800
BMW_1_F20,2013,,229200
BMW_1_F20,2014,,214500
BMW_1_F20,2015,,183200
BMW_1_F20,2016,,176100
BMW_1_F20,2017,,180200
BMW_1_F20,2018,,171400
BMW_1_F20,2019,,89200
BMW_1_F40,2019,,42100
BMW_1_F40,2020,,114200
BMW_1_F40,2021,,128500
BMW_1_F40,2022,,118400
BMW_1_F40,2023,,121600
BMW_1_F40,2024,,45200
BMW_1_F70,2024,6,8400
BMW_2_F22,2014,,28400
BMW_2_F22,2015,,49200
BMW_2_F22,2016,,52100
BMW_2_F22,2017,,48600
BMW_2_F22,2018,,42100
BMW_2_F22,2019,,36400
BMW_2_F22,2020,,24800
BMW_2_F22,2021,,11200
BMW_2_F45,2014,,13200
BMW_2_F45,2015,,107200
BMW_2_F45,2016,,100500
BMW_2_F45,2017,,87200
BMW_2_F45,2018,,72400
BMW_2_F45,2019,,58100
BMW_2_F45,2020,,38400
BMW_2_F45,2021,,18200
BMW_2_F44,2020,,41200
BMW_2_F44,2021,,68400
BMW_2_F44,2022,,62100
BMW_2_F44,2023,,65800
BMW_2_F44,2024,1,5100
BMW_2_F44,2024,2,4900
BMW_2_F44,2024,3,5800
BMW_2_G42,2021,,4200
BMW_2_G42,2022,,28400
BMW_2_G42,2023,,34100
BMW_2_G42,2024,1,2800
BMW_2_G42,2024,2,2700
BMW_2_G42,2024,3,3200
BMW_2_U06,2021,,3100
BMW_2_U06,2022,,39500
BMW_2_U06,2023,,48200
BMW_2_U06,2024,1,3900
BMW_2_U06,2024,2,3800
BMW_2_U06,2024,3,4400
BMW_4_F32,2013,,14800
BMW_4_F32,2014,,119600
BMW_4_F32,2015,,152400
BMW_4_F32,2016,,133300
BMW_4_F32,2017,,121200
BMW_4_F32,2018,,109800
BMW_4_F32,2019,,78400
BMW_4_F32,2020,,29600
BMW_4_G22,2020,,18200
BMW_4_G22,2021,,112400
BMW_4_G22,2022,,128500
BMW_4_G22,2023,,139100
BMW_4_G22,2024,1,11200
BMW_4_G22,2024,2,10900
BMW_4_G22,2024,3,13100
BMW_X1_E84,2009,,8400
BMW_X1_E84,2010,,99990
BMW_X1_E84,2011,,126429
BMW_X1_E84,2012,,147776
BMW_X1_E84,2013,,161353
BMW_X1_E84,2014,,156471
BMW_X1_E84,2015,,29581
BMW_X1_F48,2015,,111400
BMW_X1_F48,2016,,220400
BMW_X1_F48,2017,,286800
BMW_X1_F48,2018,,286900
BMW_X1_F48,2019,,268400
BMW_X1_F48,2020,,234100
BMW_X1_F48,2021,,242100
BMW_X1_F48,2022,,124800
BMW_X1_U11,2022,,48200
BMW_X1_U11,2023,,218500
BMW_X1_U11,2024,1,18500
BMW_X1_U11,2024,2,17900
BMW_X1_U11,2024,3,21400
BMW_X2_F39,2017,,2100
BMW_X2_F39,2018,,67500
BMW_X2_F39,2019,,64200
BMW_X2_F39,2020,,53800
BMW_X2_F39,2021,,54200
BMW_X2_F39,2022,,41200
BMW_X2_F39,2023,,24100
BMW_X2_U10,2023,,5200
BMW_X2_U10,2024,1,4800
BMW_X2_U10,2024,2,4600
BMW_X2_U10,2024,3,5500
BMW_X3_E83,2003,,4200
BMW_X3_E83,2004,,92200
BMW_X3_E83,2005,,110700
BMW_X3_E83,2006,,114000
BMW_X3_E83,2007,,111818
BMW_X3_E83,2008,,84442
BMW_X3_E83,2009,,55634
BMW_X3_E83,2010,,41830
BMW_X3_F25,2010,,18400
BMW_X3_F25,2011,,117944
BMW_X3_F25,2012,,149853
BMW_X3_F25,2013,,157300
BMW_X3_F25,2014,,150500
BMW_X3_F25,2015,,137800
BMW_X3_F25,2016,,157000
BMW_X3_F25,2017,,68200
BMW_X3_G01,2017,,78200
BMW_X3_G01,2018,,201600
BMW_X3_G01,2019,,317500
BMW_X3_G01,2020,,292300
BMW_X3_G01,2021,,352400
BMW_X3_G01,2022,,338100
BMW_X3_G01,2023,,350200
BMW_X3_G01,2024,,145000
BMW_X3_G45,2024,6,12500
BMW_X4_F26,2014,,21700
BMW_X4_F26,2015,,55100
BMW_X4_F26,2016,,58200
BMW_X4_F26,2017,,52100
BMW_X4_F26,2018,,12900
BMW_X4_G02,2018,,38100
BMW_X4_G02,2019,,61200
BMW_X4_G02,2020,,52400
BMW_X4_G02,2021,,60500
BMW_X4_G02,2022,,54200
BMW_X4_G02,2023,,51800
BMW_X4_G02,2024,1,4100
BMW_X4_G02,2024,2,3950
BMW_X4_G02,2024,3,4700
BMW_X5_E53,1999,,3100
BMW_X5_E53,2000,,38200
BMW_X5_E53,2001,,82500
BMW_X5_E53,2002,,100200
BMW_X5_E53,2003,,105600
BMW_X5_E53,2004,,104900
BMW_X5_E53,2005,,101500
BMW_X5_E53,2006,,81029
BMW_X5_E70,2006,,12800
BMW_X5_E70,2007,,120617
BMW_X5_E70,2008,,116487
BMW_X5_E70,2009,,88353
BMW_X5_E70,2010,,102178
BMW_X5_E70,2011,,119826
BMW_X5_E70,2012,,108544
BMW_X5_E70,2013,,59302
BMW_X5_F15,2013,,48200
BMW_X5_F15,2014,,147400
BMW_X5_F15,2015,,168100
BMW_X5_F15,2016,,166200
BMW_X5_F15,2017,,180900
BMW_X5_F15,2018,,79200
BMW_X5_G05,2018,,76500
BMW_X5_G05,2019,,165500
BMW_X5_G05,2020,,164800
BMW_X5_G05,2021,,205800
BMW_X5_G05,2022,,212400
BMW_X5_G05,2023,,228900
BMW_X5_G05,2024,1,17800
BMW_X5_G05,2024,2,17200
BMW_X5_G05,2024,3,20900
BMW_X6_E71,2008,,26580
BMW_X6_E71,2009,,41667
BMW_X6_E71,2010,,46404
BMW_X6_E71,2011,,40529
BMW_X6_E71,2012,,43689
BMW_X6_E71,2013,,36687
BMW_X6_E71,2014,,24444
BMW_X6_F16,2014,,12100
BMW_X6_F16,2015,,46300
BMW_X6_F16,2016,,43200
BMW_X6_F16,2017,,40500
BMW_X6_F16,2018,,35100
BMW_X6_F16,2019,,15400
BMW_X6_G06,2019,,18200
BMW_X6_G06,2020,,38100
BMW_X6_G06,2021,,44800
BMW_X6_G06,2022,,42100
BMW_X6_G06,2023,,43900
BMW_X6_G06,2024,1,3400
BMW_X6_G06,2024,2,3300
BMW_X6_G06,2024,3,3900
BMW_X7_G07,2018,,1200
BMW_X7_G07,2019,,51600
BMW_X7_G07,2020,,48900
BMW_X7_G07,2021,,55800
BMW_X7_G07,2022,,58300
BMW_X7_G07,2023,,63200
BMW_X7_G07,2024,1,4800
BMW_X7_G07,2024,2,4650
BMW_X7_G07,2024,3,5600
BMW_XM_G09,2022,,850
BMW_XM_G09,2023,,7450
BMW_XM_G09,2024,1,580
BMW_XM_G09,2024,2,560
BMW_XM_G09,2024,3,690
BMW_Z1_E30Z,1989,,2200
BMW_Z1_E30Z,1990,,4100
BMW_Z1_E30Z,1991,,1700
BMW_Z3_E36,1995,,2400
BMW_Z3_E36,1996,,46100
BMW_Z3_E36,1997,,58400
BMW_Z3_E36,1998,,53200
BMW_Z3_E36,1999,,47900
BMW_Z3_E36,2000,,42800
BMW_Z3_E36,2001,,33100
BMW_Z3_E36,2002,,13187
BMW_Z4_E85,2002,,4200
BMW_Z4_E85,2003,,47000
BMW_Z4_E85,2004,,38400
BMW_Z4_E85,2005,,28800
BMW_Z4_E85,2006,,31000
BMW_Z4_E85,2007,,28383
BMW_Z4_E85,2008,,20167
BMW_Z4_E89,2009,,22761
BMW_Z4_E89,2010,,24290
BMW_Z4_E89,2011,,18809
BMW_Z4_E89,2012,,15249
BMW_Z4_E89,2013,,12866
BMW_Z4_E89,2014,,10802
BMW_Z4_E89,2015,,7950
BMW_Z4_E89,2016,,2273
BMW_Z4_G29,2018,,850
BMW_Z4_G29,2019,,14500
BMW_Z4_G29,2020,,13200
BMW_Z4_G29,2021,,14100
BMW_Z4_G29,2022,,12800
BMW_Z4_G29,2023,,11900
BMW_Z4_G29,2024,1,920
BMW_Z4_G29,2024,2,890
BMW_Z4_G29,2024,3,1150
BMW_Z8_E52,2000,,1430
BMW_Z8_E52,2001,,2350
BMW_Z8_E52,2002,,1210
BMW_Z8_E52,2003,,713
BMW_I3_I01,2013,,1477
BMW_I3_I01,2014,,16052
BMW_I3_I01,2015,,24057
BMW_I3_I01,2016,,25528
BMW_I3_I01,2017,,31482
BMW_I3_I01,2018,,34829
BMW_I3_I01,2019,,39501
BMW_I3_I01,2020,,28414
BMW_I3_I01,2021,,28216
BMW_I3_I01,2022,,20444
BMW_I8_I12,2014,,1741
BMW_I8_I12,2015,,5456
BMW_I8_I12,2016,,3752
BMW_I8_I12,2017,,3180
BMW_I8_I12,2018,,2780
BMW_I8_I12,2019,,2350
BMW_I8_I12,2020,,1206
BMW_IX_I20,2021,,3400
BMW_IX_I20,2022,,38700
BMW_IX_I20,2023,,52400
BMW_IX_I20,2024,1,4100
BMW_IX_I20,2024,2,3950
BMW_IX_I20,2024,3,4600
BMW_I4_G26,2021,,2800
BMW_I4_G26,2022,,29800
BMW_I4_G26,2023,,82900
BMW_I4_G26,2024,1,7200
BMW_I4_G26,2024,2,6900
BMW_I4_G26,2024,3,8400
BMW_IX1_U11,2022,,6100
BMW_IX1_U11,2023,,58400
BMW_IX1_U11,2024,1,5200
BMW_IX1_U11,2024,2,4900
BMW_IX1_U11,2024,3,6100
BMW_IX2_U10,2023,,1800
BMW_IX2_U10,2024,1,2100
BMW_IX2_U10,2024,2,1950
BMW_IX2_U10,2024,3,2600
BMW_IX3_G08,2020,,3800
BMW_IX3_G08,2021,,37900
BMW_IX3_G08,2022,,56200
BMW_IX3_G08,2023,,68400
BMW_IX3_G08,2024,1,5600
BMW_IX3_G08,2024,2,5400
BMW_IX3_G08,2024,3,6300
BMW_I5_G60,2023,,11200
BMW_I5_G60,2024,1,4200
BMW_I5_G60,2024,2,3950
BMW_I5_G60,2024,3,4800
BMW_I7_G70,2022,,2400
BMW_I7_G70,2023,,14200
BMW_I7_G70,2024,1,1250
BMW_I7_G70,2024,2,1180
BMW_I7_G70,2024,3,1450
