generation_id,generation,series,variant_id,engine,engine_type,fuel_type,displacement_cc,cylinders,horsepower_hp,torque_nm,transmission,drivetrain,acceleration_0_100_s,top_speed_kmh,weight_kg,length_mm,width_mm,height_mm,wheelbase_mm,fuel_consumption,battery_kwh,electric_range_km
BMW_328,328,328,328_Roadster,M328,I6,Petrol,1971,6,80,128,4-speed manual,RWD,10.5,155,830,3900,1550,1400,2400,14.5,,
BMW_335,335,335,335_Sedan,M335,I6,Petrol,3485,6,90,180,4-speed manual,RWD,,145,1300,4840,1700,1690,2980,15.0,,
BMW_501,501,501,501_2.0,M337,I6,Petrol,1971,6,65,130,4-speed manual,RWD,27.0,135,1340,4730,1780,1530,2830,10.5,,
BMW_502,502,502,502_2.6_V8,M502,V8,Petrol,2580,8,100,180,4-speed manual,RWD,17.5,160,1400,4730,1780,1530,2830,13.0,,
BMW_502,502,502,502_3.2_Super,M506,V8,Petrol,3168,8,140,222,4-speed manual,RWD,12.5,175,1440,4730,1780,1530,2830,14.5,,
BMW_503,503,503,503_Coupe,M503,V8,Petrol,3168,8,140,222,4-speed manual,RWD,13.0,190,1500,4750,1710,1440,2835,14.0,,
BMW_507,507,507,507_Roadster,M507,V8,Petrol,3168,8,150,235,4-speed manual,RWD,11.1,205,1330,4380,1650,1257,2480,15.0,,
BMW_3200_CS,3200 CS,3200 CS,3200_CS_Coupe,M506/1,V8,Petrol,3168,8,160,240,4-speed manual,RWD,14.0,200,1500,4830,1720,1460,2840,14.5,,
BMW_ISETTA,Isetta 250,Isetta,Isetta_250,M250,1-Cylinder,Petrol,247,1,12,15,4-speed manual,RWD,,85,350,2285,1380,1340,1500,3.8,,
BMW_ISETTA,Isetta 300,Isetta,Isetta_300,M300,1-Cylinder,Petrol,298,1,13,18,4-speed manual,RWD,,85,360,2285,1380,1340,1500,3.8,,
BMW_600,600,600,600_Limousine,M600,Boxer 2,Petrol,582,2,20,39,4-speed manual,RWD,,100,515,2900,1400,1375,1700,5.0,,
BMW_700,700,700,700_Sedan,M700,Boxer 2,Petrol,697,2,30,50,4-speed manual,RWD,30.0,120,640,3540,1480,1345,2120,6.0,,
BMW_700,700 Sport,700,700_Sport_Coupe,M700 Sport,Boxer 2,Petrol,697,2,40,52,4-speed manual,RWD,20.0,135,650,3540,1480,1270,2120,6.5,,
BMW_NK_SEDAN,New Class 1500,New Class,NK_1500,M10,I4,Petrol,1499,4,80,118,4-speed manual,RWD,15.0,150,1050,4500,1710,1450,2550,9.5,,
BMW_NK_SEDAN,New Class 1800 TI,New Class,NK_1800_TI,M10,I4,Petrol,1773,4,110,148,4-speed manual,RWD,11.0,170,1070,4500,1710,1450,2550,10.5,,
BMW_NK_SEDAN,New Class 2000 tii,New Class,NK_2000_tii,M10B20,I4,Petrol,1990,4,130,177,4-speed manual,RWD,9.8,185,1130,4500,1710,1450,2550,10.8,,
BMW_NK_COUPE,2000 CS,New Class Coupe,NK_2000_CS,M10B20,I4,Petrol,1990,4,120,167,4-speed manual,RWD,10.5,185,1180,4530,1675,1360,2550,11.0,,
BMW_02_SERIES,1600-2,02 Series,02_1600-2,M10B16,I4,Petrol,1573,4,85,123,4-speed manual,RWD,12.8,160,940,4230,1590,1410,2500,9.2,,
BMW_02_SERIES,2002,02 Series,02_2002,M10B20,I4,Petrol,1990,4,100,157,4-speed manual,RWD,10.4,173,990,4230,1590,1410,2500,10.2,,
BMW_02_SERIES,2002 tii,02 Series,02_2002_tii,M10B20,I4,Petrol,1990,4,130,178,4-speed manual,RWD,9.4,190,1010,4230,1590,1410,2500,10.5,,
BMW_02_SERIES,2002 Turbo,02 Series,02_2002_Turbo,M31 (Turbo M10),I4,Petrol,1990,4,170,240,4-speed manual,RWD,7.0,211,1080,4220,1620,1410,2500,11.5,,
BMW_E3_SEDAN,2500 (E3),New Six (E3),E3_2500,M30B25,I6,Petrol,2494,6,150,211,4-speed manual,RWD,10.4,190,1360,4700,1750,1440,2692,12.0,,
BMW_E3_SEDAN,3.0 Si (E3),New Six (E3),E3_3.0_Si,M30B30,I6,Petrol,2985,6,200,272,4-speed manual,RWD,7.8,211,1420,4700,1750,1440,2692,13.0,,
BMW_E9_COUPE,3.0 CSi (E9),New Six Coupe (E9),E9_3.0_CSi,M30B30,I6,Petrol,2985,6,200,272,4-speed manual,RWD,7.7,220,1374,4660,1670,1370,2625,13.2,,
BMW_E9_COUPE,3.0 CSL (E9),New Six Coupe (E9),E9_3.0_CSL,M30B32,I6,Petrol,3153,6,206,286,4-speed manual,RWD,7.1,220,1165,4660,1670,1370,2625,13.5,,
BMW_M1_E26,M1 (E26),M1,M1_E26_Standard,M88/1,I6,Petrol,3453,6,277,330,5-speed manual,RWD,5.6,262,1300,4360,1824,1140,2560,13.8,,
BMW_3_E21,3 Series (E21),3 Series,3_E21_316,M10B16,I4,Petrol,1573,4,90,123,4-speed manual,RWD,13.8,160,1010,4355,1610,1380,2563,9.5,,
BMW_3_E21,3 Series (E21),3 Series,3_E21_323i,M20B23,I6,Petrol,2315,6,143,190,5-speed manual,RWD,9.0,190,1130,4355,1610,1380,2563,10.6,,
BMW_3_E30,3 Series (E30),3 Series,3_E30_318i,M40B18,I4,Petrol,1796,4,113,162,5-speed manual,RWD,10.8,188,1060,4325,1645,1380,2570,8.4,,
BMW_3_E30,3 Series (E30),3 Series,3_E30_325i,M20B25,I6,Petrol,2494,6,170,222,5-speed manual,RWD,8.3,218,1180,4325,1645,1380,2570,9.0,,
BMW_3_E30,3 Series (E30),3 Series,3_E30_M3,S14B23,I4,Petrol,2302,4,200,240,5-speed manual,RWD,6.7,235,1200,4345,1680,1370,2565,9.8,,
BMW_3_E36,3 Series (E36),3 Series,3_E36_320i,M50B20,I6,Petrol,1991,6,150,190,5-speed manual,RWD,9.9,214,1270,4433,1698,1393,2700,8.9,,
BMW_3_E36,3 Series (E36),3 Series,3_E36_328i,M52B28,I6,Petrol,2793,6,193,280,5-speed manual,RWD,7.3,236,1320,4433,1698,1393,2700,9.2,,
BMW_3_E36,3 Series (E36),3 Series,3_E36_M3_3.2,S50B32,I6,Petrol,3201,6,321,350,6-speed manual,RWD,5.5,250,1460,4433,1710,1335,2700,11.0,,
BMW_3_E46,3 Series (E46),3 Series,3_E46_320d,M47D20,I4,Diesel,1995,4,150,330,6-speed manual,RWD,8.9,216,1415,4471,1739,1415,2725,5.7,,
BMW_3_E46,3 Series (E46),3 Series,3_E46_330i,M54B30,I6,Petrol,2979,6,231,300,6-speed manual,RWD,6.5,250,1430,4471,1739,1415,2725,9.1,,
BMW_3_E46,3 Series (E46),3 Series,3_E46_M3,S54B32,I6,Petrol,3246,6,343,365,6-speed manual,RWD,5.2,250,1495,4492,1780,1372,2731,11.9,,
BMW_3_E90,3 Series (E90),3 Series,3_E90_320d,N47D20,I4,Diesel,1995,4,177,350,6-speed manual,RWD,7.9,230,1430,4520,1817,1421,2760,4.8,,
BMW_3_E90,3 Series (E90),3 Series,3_E90_335i,N54B30,I6,Petrol,2979,6,306,400,6-speed manual,RWD,5.6,250,1535,4520,1817,1421,2760,9.5,,
BMW_3_E90,3 Series (E90),3 Series,3_E90_M3,S65B40,V8,Petrol,3999,8,420,400,6-speed manual,RWD,4.8,250,1605,4580,1817,1447,2760,12.4,,
BMW_3_F30,3 Series (F30),3 Series,3_F30_320i,B48B20,I4,Petrol,1998,4,184,290,8-speed automatic,RWD,7.2,235,1450,4624,1811,1429,2810,5.8,,
BMW_3_F30,3 Series (F30),3 Series,3_F30_340i,B58B30,I6,Petrol,2998,6,326,450,8-speed automatic,RWD,5.1,250,1540,4624,1811,1429,2810,6.8,,
BMW_3_F30,3 Series (F30),3 Series,3_F30_M3,S55B30,I6,Petrol,2979,6,431,550,7-speed DCT,RWD,4.1,250,1560,4671,1877,1424,2812,8.3,,
BMW_3_G20,3 Series (G20),3 Series,3_G20_320i,B48B20,I4,Petrol,1998,4,184,300,8-speed automatic,RWD,7.1,235,1500,4709,1827,1435,2851,6.3,,
BMW_3_G20,3 Series (G20),3 Series,3_G20_M340i_xDrive,B58B30,I6,Petrol,2998,6,374,500,8-speed automatic,AWD,4.4,250,1670,4713,1827,1440,2851,7.5,,
BMW_3_G20,3 Series (G20),3 Series,3_G20_M3_Competition,S58B30,I6,Petrol,2993,6,510,650,8-speed automatic,RWD,3.9,250,1730,4794,1903,1433,2857,10.2,,
BMW_5_E12,5 Series (E12),5 Series,5_E12_520i,M10B20,I4,Petrol,1990,4,130,178,4-speed manual,RWD,11.1,183,1310,4620,1690,1425,2636,10.8,,
BMW_5_E12,5 Series (E12),5 Series,5_E12_M535i,M30B35,I6,Petrol,3453,6,218,310,5-speed manual,RWD,7.2,222,1430,4620,1690,1425,2636,12.5,,
BMW_5_E28,5 Series (E28),5 Series,5_E28_525i,M30B25,I6,Petrol,2494,6,150,215,5-speed manual,RWD,9.8,201,1290,4620,1700,1415,2625,9.7,,
BMW_5_E28,5 Series (E28),5 Series,5_E28_M5,S38B35,I6,Petrol,3453,6,286,340,5-speed manual,RWD,6.5,245,1430,4620,1700,1400,2625,11.3,,
BMW_5_E34,5 Series (E34),5 Series,5_E34_525i,M50B25,I6,Petrol,2494,6,192,245,5-speed manual,RWD,8.6,230,1480,4720,1751,1412,2761,9.8,,
BMW_5_E34,5 Series (E34),5 Series,5_E34_M5_3.8,S38B38,I6,Petrol,3795,6,340,400,6-speed manual,RWD,5.9,250,1650,4720,1751,1392,2761,12.0,,
BMW_5_E39,5 Series (E39),5 Series,5_E39_530d,M57D30,I6,Diesel,2926,6,193,410,5-speed manual,RWD,7.8,230,1575,4775,1800,1435,2830,7.1,,
BMW_5_E39,5 Series (E39),5 Series,5_E39_540i,M62B44,V8,Petrol,4398,8,286,440,6-speed manual,RWD,6.2,250,1660,4775,1800,1435,2830,11.8,,
BMW_5_E39,5 Series (E39),5 Series,5_E39_M5,S62B50,V8,Petrol,4941,8,400,500,6-speed manual,RWD,5.3,250,1795,4784,1800,1432,2830,13.9,,
BMW_5_E60,5 Series (E60),5 Series,5_E60_530i,N52B30,I6,Petrol,2996,6,272,320,6-speed automatic,RWD,6.3,250,1535,4841,1846,1468,2888,7.7,,
BMW_5_E60,5 Series (E60),5 Series,5_E60_535d,M57D30TÜTOP,I6,Diesel,2993,6,286,580,6-speed automatic,RWD,6.4,250,1660,4841,1846,1468,2888,6.8,,
BMW_5_E60,5 Series (E60),5 Series,5_E60_M5,S85B50,V10,Petrol,4999,10,507,520,7-speed SMG,RWD,4.7,250,1755,4855,1846,1469,2889,14.8,,
BMW_5_F10,5 Series (F10),5 Series,5_F10_530d,N57D30,I6,Diesel,2993,6,258,560,8-speed automatic,RWD,5.8,250,1715,4899,1860,1464,2968,5.3,,
BMW_5_F10,5 Series (F10),5 Series,5_F10_550i,N63B44,V8,Petrol,4395,8,450,650,8-speed automatic,RWD,4.6,250,1830,4899,1860,1464,2968,8.6,,
BMW_5_F10,5 Series (F10),5 Series,5_F10_M5,S63B44,V8,Petrol,4395,8,560,680,7-speed DCT,RWD,4.3,250,1870,4910,1891,1456,2964,9.9,,
BMW_5_G30,5 Series (G30),5 Series,5_G30_530e_iPerformance,B48B20 + Electric,I4,Plug-in Hybrid,1998,4,252,420,8-speed automatic,RWD,6.2,235,1770,4936,1868,1479,2975,2.0,9.2,50
BMW_5_G30,5 Series (G30),5 Series,5_G30_540i_xDrive,B58B30,I6,Petrol,2998,6,340,450,8-speed automatic,AWD,4.8,250,1660,4936,1868,1479,2975,6.9,,
BMW_5_G30,5 Series (G30),5 Series,5_G30_M5_Competition,S63B44Tx,V8,Petrol,4395,8,625,750,8-speed automatic,AWD,3.3,250,1895,4965,1903,1473,2982,10.8,,
BMW_5_G60,5 Series (G60),5 Series,5_G60_520i,B48B20 (Mild-Hybrid),I4,Hybrid,1998,4,208,330,8-speed automatic,RWD,7.5,230,1725,5060,1900,1515,2995,5.8,,
BMW_5_G60,5 Series (G60),5 Series,5_G60_M5_G90,S68B44 (PHEV),V8,Plug-in Hybrid,4395,8,727,1000,8-speed automatic,AWD,3.5,250,2435,5096,1970,1510,3006,1.7,18.6,69
BMW_7_E23,7 Series (E23),7 Series,7_E23_735i,M30B35,I6,Petrol,3430,6,218,310,5-speed manual,RWD,7.9,217,1540,4860,1800,1430,2795,11.5,,
BMW_7_E23,7 Series (E23),7 Series,7_E23_745i_Turbo,M102 / M106,I6,Petrol,3430,6,252,380,4-speed automatic,RWD,7.9,227,1650,4860,1800,1430,2795,12.8,,
BMW_7_E32,7 Series (E32),7 Series,7_E32_735i,M30B35,I6,Petrol,3430,6,211,305,5-speed manual,RWD,8.3,235,1600,4910,1845,1400,2833,11.2,,
BMW_7_E32,7 Series (E32),7 Series,7_E32_750i_V12,M70B50,V12,Petrol,4988,12,300,450,4-speed automatic,RWD,7.4,250,1860,4910,1845,1400,2833,13.5,,
BMW_7_E38,7 Series (E38),7 Series,7_E38_740i,M62B44,V8,Petrol,4398,8,286,440,5-speed automatic,RWD,6.9,250,1815,4984,1862,1435,2930,12.5,,
BMW_7_E38,7 Series (E38),7 Series,7_E38_750i_V12,M73B54,V12,Petrol,5379,12,326,490,5-speed automatic,RWD,6.6,250,1995,4984,1862,1435,2930,13.6,,
BMW_7_E65,7 Series (E65),7 Series,7_E65_745i,N62B44,V8,Petrol,4398,8,333,450,6-speed automatic,RWD,6.3,250,1945,5029,1902,1492,2990,10.9,,
BMW_7_E65,7 Series (E65),7 Series,7_E65_760i_V12,N73B60,V12,Petrol,5972,12,445,600,6-speed automatic,RWD,5.5,250,2150,5029,1902,1492,2990,13.4,,
BMW_7_F01,7 Series (F01),7 Series,7_F01_740i,N54B30 / N55B30,I6,Petrol,2979,6,320,450,8-speed automatic,RWD,5.7,250,1860,5072,1902,1479,3070,7.9,,
BMW_7_F01,7 Series (F01),7 Series,7_F01_760Li,N74B60,V12,Petrol,5972,12,544,750,8-speed automatic,RWD,4.6,250,2175,5212,1902,1479,3210,12.9,,
BMW_7_G11,7 Series (G11),7 Series,7_G11_740i,B58B30,I6,Petrol,2998,6,340,450,8-speed automatic,RWD,5.5,250,1795,5098,1902,1467,3070,7.0,,
BMW_7_G11,7 Series (G11),7 Series,7_G11_M760Li_xDrive,N74B66,V12,Petrol,6592,12,585,850,8-speed automatic,AWD,3.8,250,2220,5260,1902,1479,3210,12.5,,
BMW_7_G70,7 Series (G70),7 Series,7_G70_740i,B58B30 (Mild-Hybrid),I6,Hybrid,2998,6,380,520,8-speed automatic,RWD,5.4,250,2150,5391,1950,1544,3215,7.8,,
BMW_7_G70,7 Series (G70),7 Series,7_G70_760i_xDrive,S68B44 (Mild-Hybrid),V8,Hybrid,4395,8,544,750,8-speed automatic,AWD,4.2,250,2345,5391,1950,1544,3215,11.2,,
BMW_6_E24,6 Series (E24),6 Series,6_E24_635CSi,M30B34,I6,Petrol,3430,6,218,310,5-speed manual,RWD,7.6,222,1450,4755,1725,1365,2626,11.0,,
BMW_6_E24,6 Series (E24),6 Series,6_E24_M635CSi,M88/3,I6,Petrol,3453,6,286,340,5-speed manual,RWD,6.4,255,1500,4755,1725,1355,2626,11.5,,
BMW_6_E63,6 Series (E63),6 Series,6_E63_650i,N62B48,V8,Petrol,4799,8,367,490,6-speed automatic,RWD,5.4,250,1690,4820,1855,1373,2780,11.9,,
BMW_6_E63,6 Series (E63),6 Series,6_E63_M6,S85B50,V10,Petrol,4999,10,507,520,7-speed SMG,RWD,4.6,250,1785,4871,1855,1372,2781,14.8,,
BMW_6_F12,6 Series (F12),6 Series,6_F12_640i,N55B30,I6,Petrol,2979,6,320,450,8-speed automatic,RWD,5.4,250,1735,4894,1894,1369,2855,7.7,,
BMW_6_F12,6 Series (F12),6 Series,6_F12_M6_Gran_Coupe,S63B44,V8,Petrol,4395,8,560,680,7-speed DCT,RWD,4.2,250,1950,5011,1899,1393,2968,9.9,,
BMW_6_G32,6 Series GT (G32),6 Series,6_G32_630d_xDrive,B57D30,I6,Diesel,2993,6,265,620,8-speed automatic,AWD,6.0,250,1900,5091,1902,1538,3070,5.9,,
BMW_8_E31,8 Series (E31),8 Series,8_E31_840Ci,M62B44,V8,Petrol,4398,8,286,420,5-speed automatic,RWD,7.0,250,1855,4780,1855,1340,2684,12.0,,
BMW_8_E31,8 Series (E31),8 Series,8_E31_850CSi,S70B56,V12,Petrol,5576,12,380,550,6-speed manual,RWD,6.0,250,1865,4780,1855,1330,2684,14.2,,
BMW_8_G15,8 Series (G15),8 Series,8_G15_M850i_xDrive,N63B44,V8,Petrol,4395,8,530,750,8-speed automatic,AWD,3.7,250,1965,4851,1902,1346,2822,10.0,,
BMW_8_G15,8 Series (G15),8 Series,8_G15_M8_Competition,S63B44Tx,V8,Petrol,4395,8,625,750,8-speed automatic,AWD,3.2,250,1960,4867,1907,1362,2827,11.2,,
BMW_1_E87,1 Series (E87),1 Series,1_E87_120d,N47D20,I4,Diesel,1995,4,177,350,6-speed manual,RWD,7.6,228,1375,4239,1748,1421,2660,4.8,,
BMW_1_E87,1 Series (E87/E82),1 Series,1_E82_1M_Coupe,N54B30TO,I6,Petrol,2979,6,340,450,6-speed manual,RWD,4.9,250,1495,4380,1803,1420,2660,9.6,,
BMW_1_F20,1 Series (F20),1 Series,1_F20_M140i,B58B30,I6,Petrol,2998,6,340,500,8-speed automatic,RWD,4.6,250,1475,4324,1765,1411,2690,7.1,,
BMW_1_F40,1 Series (F40),1 Series,1_F40_M135i_xDrive,B48B20,I4,Petrol,1998,4,306,450,8-speed automatic,AWD,4.8,250,1525,4319,1799,1434,2670,7.1,,
BMW_1_F70,1 Series (F70),1 Series,1_F70_M135_xDrive,B48B20 (Mild-Hybrid),I4,Hybrid,1998,4,300,400,7-speed DCT,AWD,4.9,250,1550,4361,1800,1459,2670,7.6,,
BMW_2_F22,2 Series (F22),2 Series,2_F22_M2_Competition,S55B30,I6,Petrol,2979,6,410,550,7-speed DCT,RWD,4.2,250,1575,4461,1854,1410,2693,9.2,,
BMW_2_F45,2 Series Active Tourer (F45),2 Series Active Tourer,2_F45_220i,B48B20,I4,Petrol,1998,4,192,280,8-speed automatic,FWD,7.5,230,1410,4342,1800,1555,2670,5.9,,
BMW_2_F44,2 Series Gran Coupe (F44),2 Series Gran Coupe,2_F44_M235i_xDrive,B48B20,I4,Petrol,1998,4,306,450,8-speed automatic,AWD,4.9,250,1570,4526,1800,1420,2670,7.1,,
BMW_2_G42,2 Series Coupe (G42),2 Series,2_G42_M240i_xDrive,B58B30,I6,Petrol,2998,6,374,500,8-speed automatic,AWD,4.3,250,1690,4537,1838,1390,2741,8.0,,
BMW_2_G42,2 Series Coupe (G42/G87),2 Series,2_G87_M2,S58B30,I6,Petrol,2993,6,460,550,6-speed manual,RWD,4.3,250,1700,4580,1887,1403,2747,10.0,,
BMW_2_U06,2 Series Active Tourer (U06),2 Series Active Tourer,2_U06_220i,B38A15 (Mild-Hybrid),I3,Hybrid,1499,3,170,280,7-speed DCT,FWD,8.1,221,1520,4386,1824,1576,2670,5.9,,
BMW_4_F32,4 Series (F32),4 Series,4_F32_435i,N55B30,I6,Petrol,2979,6,306,400,8-speed automatic,RWD,5.1,250,1525,4638,1825,1362,2810,7.2,,
BMW_4_F32,4 Series (F32/F82),4 Series,4_F82_M4_Competition,S55B30,I6,Petrol,2979,6,450,550,7-speed DCT,RWD,4.0,250,1540,4671,1870,1383,2812,8.8,,
BMW_4_G22,4 Series (G22),4 Series,4_G22_M440i_xDrive,B58B30,I6,Petrol,2998,6,374,500,8-speed automatic,AWD,4.5,250,1740,4768,1852,1383,2851,7.4,,
BMW_4_G22,4 Series (G22/G82),4 Series,4_G82_M4_Competition,S58B30,I6,Petrol,2993,6,510,650,8-speed automatic,RWD,3.9,250,1725,4794,1887,1393,2857,10.2,,
BMW_X1_E84,X1 (E84),X1,X1_E84_xDrive20d,N47D20,I4,Diesel,1995,4,177,350,6-speed automatic,AWD,8.4,213,1575,4454,1798,1545,2760,5.8,,
BMW_X1_F48,X1 (F48),X1,X1_F48_xDrive25i,B48B20,I4,Petrol,1998,4,231,350,8-speed automatic,AWD,6.5,235,1540,4439,1821,1598,2670,6.6,,
BMW_X1_U11,X1 (U11),X1,X1_U11_M35i_xDrive,B48B20,I4,Petrol,1998,4,300,400,7-speed DCT,AWD,5.4,250,1665,4500,1845,1622,2692,7.7,,
BMW_X2_F39,X2 (F39),X2,X2_F39_M35i,B48B20,I4,Petrol,1998,4,306,450,8-speed automatic,AWD,4.9,250,1610,4360,1824,1526,2670,7.1,,
BMW_X2_U10,X2 (U10),X2,X2_U10_M35i_xDrive,B48B20,I4,Petrol,1998,4,300,400,7-speed DCT,AWD,5.4,250,1695,4554,1845,1590,2692,7.7,,
BMW_X3_E83,X3 (E83),X3,X3_E83_3.0sd,M57D30TÜTOP,I6,Diesel,2993,6,286,580,6-speed automatic,AWD,6.6,240,1875,4569,1853,1674,2795,8.7,,
BMW_X3_F25,X3 (F25),X3,X3_F25_xDrive35i,N55B30,I6,Petrol,2979,6,306,400,8-speed automatic,AWD,5.7,245,1815,4648,1881,1661,2810,8.8,,
BMW_X3_G01,X3 (G01),X3,X3_G01_M40i,B58B30,I6,Petrol,2998,6,360,500,8-speed automatic,AWD,4.8,250,1810,4708,1891,1676,2864,8.4,,
BMW_X3_G01,X3 (G01/F97),X3,X3_F97_X3M_Competition,S58B30,I6,Petrol,2993,6,510,650,8-speed automatic,AWD,3.8,250,1970,4726,1897,1667,2864,10.8,,
BMW_X3_G45,X3 (G45),X3,X3_G45_M50_xDrive,B58B30 (Mild-Hybrid),I6,Hybrid,2998,6,398,580,8-speed automatic,AWD,4.6,250,1980,4755,1920,1660,2865,7.7,,
BMW_X4_F26,X4 (F26),X4,X4_F26_M40i,N55B30T0,I6,Petrol,2979,6,360,465,8-speed automatic,AWD,4.9,250,1820,4671,1881,1624,2810,8.6,,
BMW_X4_G02,X4 (G02),X4,X4_G02_M40i,B58B30,I6,Petrol,2998,6,360,500,8-speed automatic,AWD,4.8,250,1825,4752,1918,1621,2864,8.4,,
BMW_X5_E53,X5 (E53),X5,X5_E53_4.4i,M62B44 / N62B44,V8,Petrol,4398,8,320,440,6-speed automatic,AWD,7.0,240,2120,4667,1872,1707,2820,13.1,,
BMW_X5_E53,X5 (E53),X5,X5_E53_4.8is,N62B48,V8,Petrol,4799,8,360,500,6-speed automatic,AWD,6.1,246,2200,4667,1925,1707,2820,13.5,,
BMW_X5_E70,X5 (E70),X5,X5_E70_xDrive30d,N57D30,I6,Diesel,2993,6,245,540,8-speed automatic,AWD,7.6,222,2075,4857,1933,1776,2933,7.4,,
BMW_X5_E70,X5 (E70),X5,X5_E70_X5_M,S63B44,V8,Petrol,4395,8,555,680,6-speed automatic,AWD,4.7,250,2305,4851,1994,1764,2933,13.9,,
BMW_X5_F15,X5 (F15),X5,X5_F15_xDrive40e,N20B20 + Electric,I4,Plug-in Hybrid,1997,4,313,450,8-speed automatic,AWD,6.8,210,2230,4886,1938,1762,2933,3.3,9.0,31
BMW_X5_F15,X5 (F15),X5,X5_F15_X5_M,S63B44,V8,Petrol,4395,8,575,750,8-speed automatic,AWD,4.2,250,2275,4880,1985,1754,2933,11.1,,
BMW_X5_G05,X5 (G05),X5,X5_G05_xDrive50e,B58B30 + Electric,I6,Plug-in Hybrid,2998,6,489,700,8-speed automatic,AWD,4.8,250,2420,4922,2004,1745,2975,1.1,25.7,110
BMW_X5_G05,X5 (G05/F95),X5,X5_F95_X5_M_Competition,S68B44 (Mild-Hybrid),V8,Hybrid,4395,8,625,750,8-speed automatic,AWD,3.9,250,2400,4938,2015,1762,2972,12.9,,
BMW_X6_E71,X6 (E71),X6,X6_E71_xDrive35i,N54B30 / N55B30,I6,Petrol,2979,6,306,400,8-speed automatic,AWD,6.7,240,2070,4877,1983,1690,2933,10.1,,
BMW_X6_F16,X6 (F16),X6,X6_F16_X6_M,S63B44,V8,Petrol,4395,8,575,750,8-speed automatic,AWD,4.2,250,2260,4909,1989,1689,2933,11.1,,
BMW_X6_G06,X6 (G06),X6,X6_G06_M50i,N63B44,V8,Petrol,4395,8,530,750,8-speed automatic,AWD,4.3,250,2235,4935,2004,1696,2975,10.4,,
BMW_X7_G07,X7 (G07),X7,X7_G07_xDrive40i,B58B30 (Mild-Hybrid),I6,Hybrid,2998,6,380,520,8-speed automatic,AWD,5.8,250,2415,5181,2000,1835,3105,9.6,,
BMW_X7_G07,X7 (G07),X7,X7_G07_M60i_xDrive,S68B44 (Mild-Hybrid),V8,Hybrid,4395,8,530,750,8-speed automatic,AWD,4.7,250,2600,5181,2000,1835,3105,12.2,,
BMW_XM_G09,XM (G09),XM,XM_G09_Label_Red,S68B44 (PHEV),V8,Plug-in Hybrid,4395,8,748,1000,8-speed automatic,AWD,3.8,250,2710,5110,2005,1755,3105,1.6,25.7,83
BMW_Z1_E30Z,Z1 (E30Z),Z1,Z1_E30Z_Standard,M20B25,I6,Petrol,2494,6,170,222,5-speed manual,RWD,7.9,225,1250,3921,1690,1277,2447,9.2,,
